4M5DX,4m5dx.no-ip.org:7300
N8NOE-2,N8NOE.US
N8NOE-2,N8NOE.US:7373
N8OJ,69.166.150.185:7300
N8YIB-10,n8yib.dyndns.org
N9AI,N9AI.NO-IP.ORG
N9AI,n9ai.no-ip.org:7373
N9BC-2,dxc.n9bc.com:7300
N9BMS,66.84.210.68
N9JR,dx.n9jr.com:7300
N9JR-2,dx.n9jr.com:7300
N9KT,n9kt.dyndns.org:8000
N9KT-2,n9kt.homenet.org:8000
N9MW,www.n9mw.com
N9MXT,n9mxt.tzo.com
N9PMO-6,N9PMO.NO-IP.ORG:7373
N9VI,n9vi-bbs.from-in.com
N9VI-1,n9vi-bbs.from-in.com:7373
NA2NA,na2na.net
NA7KR-3,na7kr.na7kr.us:9000
NC7J,dxc.nc7j.com
NC7J,nc7j.qrq.com:8000
NC7J-1,dxc.nc7j.com:7373
NC7J-2,dxc.nc7j.com:7300
NC7J-3,dxc.nc7j.com:7200
NE3H,ne3h.no-ip.com
NG2P,66.67.220.251:7300
NG9R,dxc.ng9r.com
NJ7I,nj7i.net
NK7Z-1,nk7z-cluster.ddns.net:7373
NL7S,nl7s.net:8000
NN1D,k1rfi.com:7300
NN1D,n1ldy.ath.cx:7300
NP3N,dxc.np3n.com:7300
NR1X-3,nr1x.budlog.net:7300
NX9G,dxc.f2f.us:7300
OE1XHQ,dxcluster.oevsv.at:41112
OE6XPE-5,radio-linux.isti.cnr.it
OE9XPR-9,oe9xpr.ampr.org:8000
OH1RCF,oh1ab.dy.fi:8000
OH2J,ham.connect.fi:7300
OH2J,joni.connect.fi:7300
OH5NK,www.twoy.net:8000
OH5RBI,217.25.99.10:8000
OK0DXH,194.213.40.187:41112
OK0DXH,ok0dxh.goo.cz:8000
OK0DXI,ok0dxi.nagano.cz:41112
OK0DXI,radio.nagano.cz:41112
OK0DXP,radio-linux.isti.cnr.it
OK0DXU,ok0ntu.ampr.cz:7373
OK2CQR-1,hamqth.com:7300
ON0AN,44.144.11.254:8000
ON0CLUS,193.53.39.133:7300
ON0DXC-5,on0dxc.dyndns.org:8000
ON0DXK,193.191.136.222:8000
ON0DXK-5,on0dxk.dyndns.org:8000
ON0LLV-5,on0llv.ddns.net:7300
ON0NOL,nolcluster.dyndns.org:9000
ON0NOL-9,NOLCLUSTER.NO-IP.ORG:9000
ON0NOL-9,nolcluster.on8ar.eu:7300
ON0RCL,dxl.radioclubleuven.be:7300
ON0RET,on0ret.dyndns.org:8000
ON2VHF-3,on2vhf-3.ddns.net:9001
ON3VHF,on3vhf.no-ip.org:8000
ON4KVI,on4kvi.dyndns.org:7300
ON4LL-2,on4ll.ddns.net:7300
OP0P,op0p.no-ip.org:8000
OZ2DXC,80.198.77.12:8000
OZ2DXC,94.189.15.203:8000
OZ5BBS,194.192.135.177:8000
OZ5BBS-7,oz5bbs.dk:8000
OZ5BBS-7,OZ5BBS.NO-IP.ORG:8000
OZ5DIG,194.192.135.177:53
OZ7DXC,80.197.188.226:9000
P43L-8,p43l.serveftp.org:7300
PA0DTZ,83.163.98.212:7373
PA0DTZ-2,80.60.80.8:8000
PA0ESH-3,pa0esh.com:7300
PA1RBZ,pa1rbz.dyndns.org:9000
PA2DX-7,dxc.pa2dx.nl:9000
PA4AB-14,ea1.pa4ab.net:8000
PA4JJ-2,83.162.186.242:7300
PA4JJ-3,83.162.186.242:7388
PA5KT,pa5kt.dyndns.org:7530
PA6NL,dxc.pa6.nl
PA8F-6,pa8f.ddns.net:7300
PC5W,80.126.235.11:8000
PE1ITR-8,dxc.pe1itr.com:7300
PE1M,pe1m.dyndns.org:9000
PE1SDE-7,85.151.146.92
PI4CC,dxc.pi4cc.net:8000
PI4CC,dxc.pi4cc.nl:8000
PI5EHV,131.155.192.179:8000
PI5EHV-8,claudia.esrac.ele.tue.nl:8000
PI8CDR-7,pi8cdr.halerbrug.nl:7000
PI8DAZ-7,radio-linux.isti.cnr.it
PI8DXC,pi8dxc.dynanic.com:41112
PI8DXC,pi8dxc.mooo.com:41112
PI8DXG,radio-linux.isti.cnr.it
PI8DXQ,pa3aes.dyndns.org:41112
PI8DXQ,pi8wfl.dyndns.org:7300
PI8RWD-7,radio-linux.isti.cnr.it
PI8SNK-7,PI1SNK.NO-IP.ORG
PP5AQ,200.180.51.100:8000
PP5MCB,dxc.pp5mcb.com.br
PU2LUW-2,dxc.qrg.net.br:7300
PY1NB-4,telnet.dxwatch.com:7000
PY1TSP-1,cluster.riodxgroup.com:7000
PY2BK,py2bk.dyndns.org:9000
PY3NZ,200.143.84.5
PY3NZ,200.143.84.5:8000
PY3NZ-8,dxc.baependi.com.br:8000
PY5JO-11,py5jo.no-ip.org:8000
PY5UFP,dxc.amprnet.org.br:9000
R2DGO-1,77.91.196.82:7300
R5ACQ-1,r5acq.no-ip.org:7373
RA3ATX-5,dx.znuki.ru:7300
RK2FWB,gw-radiocluster.gazinter.net:8000
RK6EWX,vreal.ru:7300
RN3A-4,176.62.179.24:7373
RN6BN,rn6bn.73.ru
RU9CZZ,195.38.48.61:41112
RV0AEV,dxc.andys.ru:41112
RV0AEV-1,dxc.vxnet.ru:8000
RW3XA,dx.obninsk.org:41112
RW3XA-8,DX.OBNINSK.ORG:8000
RW3XA-8,odxc.ru:8000
RX3QFM-1,93.88.130.90:8000
RX4HW,80.82.166.85
RZ1AWT,194.85.123.108:41112
S50ARX,s50arx.hamradio.si:7300
S50CLX,bonaparte.infrax.si:41112
S50CLX,s50clx.infrax.si:41112
S50DXS,s50dxs.ods.org
S50DXS,S50DXS.ODS.ORG:8000
S50DXS,s50dxs.s53m.com:8000
S55HHH-1,cluster.s55hhh.net:7373
SK0BU,130.237.41.41:41112
SK0BU,130.237.41.41:8000
SK0BU-5,thr-1.math.kth.se:8000
SK2AU,sk2au.mine.nu
SK2AU-6,sk2au.mine.nu
SK3GW,sk3gw.shacknet.nu:8000
SK3W,sk3w.shacknet.nu:8000
SK3W-6,sk3w.se:8000
SK4BX,cluster.sk4bx.se:8000
SK6AW-1,sm6.se:8000
SK6LK,packet.sk6lk.se:7300
SK7AX,sm7ndx.dyndns.org:8000
SL2ZA,212.32.170.228:7300
SM0RUX,ax25.org:41112
SM0RUX-6,ax25.org:8000
SM4ONW,cluster.sk4bw.net:8000
SM4ONW-14,cluster.sk4bw.net:8000
SM5XGP,sm5xgp.dyndns.org:7300
SM6HOC,sm6hoc.dyndns.org:7300
SM6HOC-6,sm6hoc.dyndns.org:7300
SM6YOU,sector7.nu-8000
SM6YOU,SECTOR7.NU:8000
SM6YOU-2,SECTOR7.NU:8000
SM6YOU-2,sk6aw.net:8000
SM7GVF,sm7gvf.dyndns.org
SM7GVF,SM7GVF.DYNDNS.ORG:3692
SM7GVF-6,sm7gvf.dyndns.org:8000
SM7TIX,sm7tix.mine.nu:41112
SP1LOP,62.69.192.233:9000
SP7YDD-12,www.sp7ydd.ampr.org:9000
SP9RQA-12,217.96.37.168:9000
SR1DXZ,www.sr1bsz.ampr.org:9000
SR2BOX-12,ampr.bsb.com.pl:9000
SR4DXC,dx.jestok.com:7300
SR4DXC,sr4dxc.jestok.com:9000
SR4DXC-1,dxcluster.pl:7300
SR6BDX,78.8.39.233:9000
SR6DWH-12,87.105.249.51:9100
SR8BBS-12,www.sr8bbs.ampr.org:9000
SR9DDF,157.158.185.199:9000
SR9DDF-12,157.158.185.199:9000
SR9ZAA,195.150.236.250:9000
SR9ZAA-12,195.150.236.250:9000
SR9ZAA-12,zhp.tl.krakow.pl:9000
SV1CPO,213.5.193.22:8000
SV1CPO-8,agrinio.ampr.org:9000
SV1DAY,sv1day.homeip.net
SV1IW-9,sv1iw.ignorelist.com:73
SV2CUI-8,sv2cui.net:7300
SV2DWG,62.38.223.163:7300
SV2DWG-8,sv2dwg.no-ip.org:7300
SV2HRT-1,sv2hrt.ath.cx:7300
SV4FFB,sv4ffb.no-ip.org:7300
SV4FFB-2,sv4ffb.no-ip.org
SV5FRI-1,dxc.sv5fri.eu:7300
SZ1SV,cluster.redirectme.net
SZ5RDS-5,sz5rds.no-ip.org:7300
TA2NC-2,home.kayhan.name.tr:7300
TR0A-3,tr8ca.no-ip.org:9000
TU5EX,tu5ex.no-ip.org:9000
UA4CC,remo3.renet.ru:
UA4CC,REMO3.RENET.RU:8000
UA4CC,zavod.remoltd.com:8000
UA4FBG,dx.penzanet.ru:8000
UN7TK,145.255.160.182
UR4QRH-2,dxinua.com:8000
US4ICL,91.211.17.87:8000
US5WE,213.130.17.137:41112
US5WE-5,fairs.org.ua:9000
US6IQ-1,dxc.us6iq.com:7300
UT1U,dx.mixw.net:7300
UU1DX-1,uu1dx.com
UY0LL-1,ugt.kharkov.com:8000
VA2BBS-2,va2bbs.dyndns.org:8000
VA3MW,va3mw.homeip.net:41112
VA3MW-7,va3mw.dxcluster.org:41112
VA3SBX,va3sbx.dyndns.org:7300
VE1CFB,sparc.no-ip.info:7300
VE1DXI,ve1dxi.no-ip.com
VE2PKT,ve2pkt.dyndns.org:9000
VE2PKT-9,ve2pkt.dyndns.org:9000
VE3CGR,ve3cgr.dyndns.org:7300
VE3CGR-5,ve3cgr.dyndns.org:7300
VE3EY,dx.fireroute.com
VE3EY-7,dx.fireroute.com
VE3FJB,ve3fjb.dyndns.org:41112
VE3KYG,ve3kyg.dyndns.org:7300
VE3ZIN-2,dxc.ve3zin.com:7300
VE5BT,ve5bt.no-ip.ca:41112
VE5BT-7,ve5bt.no-ip.ca:41112
VE6AAA,dxc.ve7cc.net:7373
VE6DXC,dxc.middlebrook.ca:8000
VE6DXD,ve6dxd.tzo.com
VE6TN,dx.middlebrook.ca
VE6TN-7,dxc.middlebrook.ca
VE7CC,dxc.ve7cc.net
VE7CC-1,ve7cc.net
VE9EMO,142.139.0.194
VE9EMO-9,ve9emo.gnb.ca
VE9SC,ve9sc.no-ip.org:6300
VE9SC-3,ve9sc.no-ip.org:7373
VK3AMA-2,clx.vk3ama.vkdxer.net:7300
VK3APC,vk3apc.mdrc.org.au:41112
VK3APC-4,vk3apc.mdrc.org.au:7300
VK3ATM-4,Vk3atm.ozeham.net:7300
VK3AVE,vk3ave.net:41112
VK3AVE-4,cluster.vk3ave.net:7300
VK3FRS,cluster.vk3frs.net:4001
VK3HRA-2,dxcluster.parksnpeaks.org:7300
VK4TRS-7,vk4trs.ath.cx:8000
VK5GR-2,gate.vk5gr.id.au:7300
VK7HDM,203.27.101.82:7300
VK7HDM-2,203.39.216.133:7300
VK8NSB-7,vk8nsb.shacknet.nu:7300
VU3SPQ,dxcluster.in
VY2CC,vy2cc.no-ip.com:7300
W0MU,w0mu.net
W0MU-1,W0MU.NET
W0MU-1,w0mu.net:7373
W0MW,w0mw.dynip.com
W0TDX,w0tdx.no-ip.com
W1AAA,dxusa.net:7300
W1DX,dxusa.net:7300
W1GQ,dx.w1gq.net
W1NGL,w1ngl.no-ip.org:9000
W1NGL-3,W1NGL.NO-IP.ORG:9000
W1NR,dxc.w1nr.net
W1NR,DXC.W1NR.NET:7300
W1NR-9,usdx.w1nr.net
W1VE,dxc.w1ve.com
W2DZ,dx.w2dz.net
W2GSB,24.187.233.93
W2MMD,W2MMD.NET:7373
W2MU,24.164.165.242:8000
W2PS,w2ps.tzo.com
W3FRC,w3frc.gofrc.org:7300
W3LPL,dxc.w3lpl.net
W3LPL-1,dxc.w3lpl.net:7373
W3NR,w3nr.ddns.net:7300
W4DXA,W3GQ.NO-IP.COM
W4DXA,w4dxa.no-ip.com
W4GOV,w4gov.from-va.com
W4LEE,204.29.106.100
W4ML,dxc.w4ml.net
W4MR,W4MR.TZO.COM
W4MR,w4mr.tzo.com:7300
W4NJA,207.162.164.91:7373
W4NJA,216.135.37.195
W4QB,K4ZR.NO-IP.ORG:7300
W4QB,nadxc.no-ip.org:7300
W4TO,w4to.no-ip.com
W4UAT,nf6s.no-ip.com
W4ZR,w4zr.dyndns.org
W5DAV-2,w5dav.ham-radio-op.net
W5LW-3,usrdude.webhop.net:7300
W5MWC,dx.w5mwc.org:8000
W6CUA,W6CUA.NO-IP.ORG
W6CUA,w6cua.no-ip.org:7300
W6KK,w6kk.zapto.org:7300
W6RFU,ucsbdx.ece.ucsb.edu:7300
W6RK-2,ch.w6rk.com:7300
W7JD-1,w7jd.ddns.net:9000
W7PKT,w7pkt.net:7300
W8AEF,paul.w8aef.com
W8BS,w8bs.ddns.net:7300
W8WTS-1,DXC.W8WTS.NET
W8WTS-1,dxc.w8wts.net:7374
W8WTS-2,dxc.w8wts.net
W8WTS-3,dxc.w8wts.net:7373
W8ZJT-3,dxc.w8zjt.net:7300
W9AEK,dx.svs.com:7300
W9AZ,w9az.ddns.net
W9AZ-1,w9az.ddns.net:7373
W9BBS-5,w9bbs.no-ip.org:7373
W9BG,w9bg.com
W9BG,W9BG.COM:7373
W9NIU,131.156.2.135:41112
W9ODD,134.48.91.82
W9ODD,W9ODD.BIEN.MU.EDU
W9PA,dxc.w9pa.net
W9PA,DXC.W9PA.NET:7373
W9PA-4,dxc.w9pa.net:7373
W9YB,w9yb-dx.student-orgs.purdue.edu
W9YB-1,w9yb-dx.student-orgs.purdue.edu:7373
WA0ROI,wa0roi.no-ip.com
WA2UMX,rich.iplocate.net:7300
WA4ET,dxc.w4dfu.ufl.edu
WA9PIE-2,dxc.wa9pie.net:8000
WB3FFV-2,dxc.leadmon.net:7300
WB4QOJ-8,108.67.41.107:7373
WB5VZL-1,telnet.reversebeacon.net:7000
WB6JAR,wb6jar.no-ip.org
WB6SAA,dxc.wb6saa.net:7373
WB8ZRL,wb8zrl.no-ip.org:7300
WC2L,dxc.wc2l.com
WC2L-1,dxc.wc2l.com:7373
WC4J,dxc.wc4j.net
WD1L,DXC.WD1L.net:7300
WD4IXD,dxc.wd4ixd.net
WE4M,we4m.no-ip.org
WF5E,wf5e.no-ip.com
WG9L,wg9l.no-ip.com
WJ3G-3,wj3g.no-ip.org:7300
WM3T,dxc.wm3t.com:7300
WP3CW,dxc.np3a.com:7373
WR3D,wr3d.dxcluster.net:7300
WS7I-1,ws7i.ewarg.org:7300
WT3Q,wt3q.gofrc.org:7300
WW1R-9,dxc.ww1r.com:7300
XQ8FGC-10,xq8fgc.cx2sa.net:9000
YC7GNS-10,119.47.89.14
YL7DXC,dxc.ardi.lv:8000
YO5KAV,82.77.126.79:8000
YO5OAG-5,yo5oag.ro:8000
YO6GZI-2,kn25vt.ddns.net:7300
YO7JYL-10,bastus.ro:8000
YO8SAW-1,yo8saw.netroute.ro:7300
YT2CQ-1,dxc.yt2cq1.dyn.rs:7300
YU0DXK,dx.kg.ac.yu:8000
YU1EXY-7,www.yu1exy.org:8000
YV5AJ,yv5aj.org:7000
YV5OF-1,hamcluster.no-ip.org:7300
YV6BTF-7,yv6btf.no-ip.org:8000
ZL2AQY-10,olson.net.nz:9000
ZL2ARN-10,ZL2ARN.ATH.CX:7300
ZL2ARN-10,zl2arn.dyndns.org:7300
ZL2ARN-9,zl2arn.dyndns.org:7500
ZS6RO-3,www.ham-radio.co.za:7300
